,product_title,product_image,product_category,Images_Cluster
0,12 INCH BLACKFOREST CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-BLACKFOREST-CAKE-500x500.jpg,CAKES,4
1,12 INCH CHOCOLATE CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-CHOCOLATE-CAKE-500x393.jpg,CAKES,4
2,12 INCH GANACHE CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-GANACHE-CAKE-500x500.jpg,CAKES,4
3,12 INCH STRAWBERRY CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-STRAWBERRY-CAKE.jpg,CAKES,4
4,12 INCH VANILLA CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-VANILLA-CAKE.jpg,CAKES,4
5,12INCH RED VELVET CAKE,https://www.okonline.co.zw/wp-content/uploads/12INCH-RED-VELVET-CAKE-1-500x500.jpg,CAKES,4
6,7 UP CAN 330ML,https://www.okonline.co.zw/wp-content/uploads/9000050485-19.jpg,SOFT DRINKS,0
7,Absorbers,https://www.okonline.co.zw/wp-content/uploads/Absorbers-logo-and-packshot-1.jpg,PERSONAL CARE,3
8,Aqua Clear  Water 1LX12,https://www.okonline.co.zw/wp-content/uploads/Aqua-750ml-1.jpg,WATER,3
9,Aqua clear water 750mlX15,https://www.okonline.co.zw/wp-content/uploads/Aqua-750ml.jpg,WATER,3
10,Aqua Lite Water 500mlX12,https://www.okonline.co.zw/wp-content/uploads/aquaclear-mineral-water-500mlx24.jpg,WATER,3
11,Aqua-clear Water 500mlX24,https://www.okonline.co.zw/wp-content/uploads/aquaclear-water-500mlx24-500x500.jpg,WATER,3
12,AQUACLEAR BOTTLED WATER 500ML,https://www.okonline.co.zw/wp-content/uploads/AQUACLEAR-500ML.jpg,WATER,3
13,BABA JOHN’S CHICKEN MIXED PORTIONS 2KG,https://www.okonline.co.zw/wp-content/uploads/Baba-Johns-Chicken-2kg.png,GROCERY,3
14,Bake’n Take Standard White Bread(Available in Harare Only),https://www.okonline.co.zw/wp-content/uploads/Bake-n-Take-Loaf.png,GROCERY,3
15,BAKER’S INN PREMIUM BREAD,https://www.okonline.co.zw/wp-content/uploads/bakers-inn-bread.png,GROCERY,3
